year,global_AT,arctic_AT,gl_AT
1900,287.32788365478615,261.66513286088366,266.6088710249052
1901,287.2578611534289,261.25510224321135,266.7376639074039
1902,287.1266745061455,260.3553172598181,266.1274697986636
1903,286.9482961320995,260.88373007680315,265.6735651202495
1904,286.84250721958415,260.2748913148021,265.0589250482125
1905,287.10607301038715,261.22660908478366,265.9150849100506
1906,287.22816669182646,261.6380868771722,265.71750946164786
1907,287.04253995236354,261.2715804611243,265.4326542236943
1908,287.0182487370479,261.2570534831651,266.5511561802442
1909,286.97308342175245,261.3437730788489,266.3064518745754
1910,286.9171729866777,260.8842668672776,265.63149437314263
1911,286.96595567416244,260.81056167050855,265.8104582022198
1912,287.02871312902346,260.9446972674693,266.211309712659
1913,287.0770287516075,261.5435283684323,265.62249443118753
1914,287.17579639354256,261.29448599442793,265.39345311157376
1915,287.3187357583627,261.2868158670539,266.6720020353924
1916,287.1148758152899,261.3752943252482,266.22733973926245
1917,287.0342306817284,261.39280573230667,265.7908553568222
1918,287.13952815038186,261.184168663684,266.0763513904077
1919,287.238637546858,262.00934062763054,266.4236639662424
1920,287.22701317603656,261.73960589511483,265.71342936366807
1921,287.2050371631542,261.6696898406002,265.4940463704845
1922,287.15029972071807,261.47082057032486,266.3080479311725
1923,287.2011504732908,261.22874581616554,266.04842381748534
1924,287.15267203212204,261.6578108034444,266.4790036918077
1925,287.18115750921123,261.2092236912437,266.19644300121615
1926,287.3204258245223,261.35520858497307,266.53275530399713
1927,287.22870812088917,261.4659864041277,266.6780148319912
1928,287.2790386885441,261.86825799636296,267.2217541250749
1929,287.09392779612523,261.42037043371784,266.89480352049776
1930,287.33741255220235,262.0232583758703,266.97104950137054
1931,287.3837499281519,261.8351783047705,266.7990504249544
1932,287.29397616625477,261.6921558711335,267.05221302023625
1933,287.19108436365605,261.8978814292913,267.0201457090464
1934,287.2451085664105,262.0992183119053,266.2324073741457
1935,287.29644345506256,261.5136546457881,266.4925589693123
1936,287.3395731301595,261.7273274058449,266.52429384852235
1937,287.4317476430611,261.95638645699626,266.3984251551274
1938,287.423128834474,262.25304333312357,266.2996534669437
1939,287.4287251800667,261.3774821105681,267.14058676544937
1940,287.38687638982583,261.48370881882187,266.9944827944705
1941,287.43218505040284,260.9193463450395,267.23537717837684
1942,287.3913652011259,261.5936348622696,266.65219821093734
1943,287.3667914790533,261.86687906629123,265.5654128324328
1944,287.6136449628053,262.1452893041319,266.1005550812465
1945,287.5728562505689,262.1045626347936,267.11305864435064
1946,287.4017412120577,261.4514580726958,266.9850545462753
1947,287.3376206956497,262.205783990301,267.1512163661591
1948,287.29550625257286,260.6603821928565,265.5721877993654
1949,287.26194927119917,261.1740004944853,265.07141806508224
1950,287.20818295703566,261.1415188464622,266.2741603947661
1951,287.29787224986467,260.9402148123594,265.5891789083257
1952,287.33557576240537,261.4495305783805,266.71999071866827
1953,287.4537706858551,261.93972542613363,266.37584433911485
1954,287.2849461547728,262.29355032766546,266.69429136181736
1955,287.2283258662633,260.9488153838388,266.45769460292763
1956,287.16259524437044,261.4218004356391,265.97716619645365
1957,287.41132428558996,261.29561422380436,266.0951135007545
1958,287.43097671606847,261.0902551330396,266.6313504184028
1959,287.4008778609442,261.97454825328197,266.3251251681871
1960,287.3632050389875,261.6969915333787,267.46564977195015
1961,287.4664978849716,261.23939084389156,266.0003480199145
1962,287.3930193435417,261.35746956732265,266.5036063613841
1963,287.4114232116258,260.9728852161743,266.50837557294983
1964,287.2355363906667,260.9601603394066,266.7879162900372
