# annual AT zonal mean with weighted latitudes for nh - North hemisphere, gl - Greenland (6–75°W, 58–85°N), arctic - the Arctic (> 66:5° N),
# AT in °C, 1900-2015
# based on 20CRv3 data
years,global_AT,nh_AT,arctic_AT,gl_AT,global_AT_ano,nh_AT_ano,arctic_AT_ano,gl_AT_ano,gl_AT_at
1900,14.17786044082328,15.104644718773272,-11.48486743975502,-6.541144179689184,-0.5490025789718018,-0.5177131788210527,-1.1241299311293886,-0.4255949289628047,-6.541144179689184
1901,14.107855486752667,15.029341614377811,-11.89489247763845,-6.412342711188785,-0.6190075330424136,-0.5930162832165138,-1.5341549690128191,-0.296793460462406,-6.476743445438984
1902,13.9766176778856,14.791998332687513,-12.794712537078285,-7.022574981960474,-0.7502453419094817,-0.8303595649068125,-2.433975028452654,-0.9070257312340956,-6.658687290946148
1903,13.798306705810433,14.612807830938436,-12.26625104176378,-7.47641551336028,-0.9285563139846484,-1.0095500666558888,-1.9055135331381496,-1.360866262633901,-6.863119346549681
1904,13.69253053127676,14.416246450051574,-12.875098570121963,-8.09106748261462,-1.0343324885183218,-1.2061114475427512,-2.5143610614963325,-1.9755182318882405,-7.108708973762669
1905,13.95607738514218,14.8104058240653,-11.923371255828611,-7.234909847020901,-0.770785634652901,-0.8119520735290244,-1.5626337472029803,-1.1193605962945226,-7.247462107229012
1906,14.078220209731,14.98894679244637,-11.511869597146756,-7.432441736153748,-0.6486428100640804,-0.633411105147955,-1.1511320885211251,-1.3168924854273696,-7.451481912222005
1907,13.892580242391546,14.696835497958716,-11.878361455111415,-7.717297134767421,-0.8342827774035353,-0.925522399635609,-1.5176239464857844,-1.6017478840410415,-7.590426342783394
1908,13.868199409810188,14.740956325606248,-11.892973779521128,-6.598868185905758,-0.8586636099848928,-0.8814015719880768,-1.5322362708954973,-0.4833189351793789,-7.414916877292489
1909,13.82305592894346,14.724992052342486,-11.80622079607923,-6.843545716226572,-0.9038070908516218,-0.8973658452518389,-1.4454832874536,-0.7279964655001931,-7.16541252401488
